peptide_id,parent_cluster_id,parent_cluster_members,parent_donor_ids,external_sequence_component_id,nearest_development_component_ids,linked_component_id,linked_development_component_ids
P1,PC001,P1,seq_pep93,EC001,SC002,LC001,SC002
P2,PC002,P2;P3;P4;P5,seq_pep60;seq_pep62,EC001,SC002,LC001,SC002
P3,PC002,P2;P3;P4;P5,seq_pep60;seq_pep62,EC001,SC002,LC001,SC002
P4,PC002,P2;P3;P4;P5,seq_pep60;seq_pep62,EC001,SC002,LC001,SC002
P5,PC002,P2;P3;P4;P5,seq_pep60;seq_pep62,EC001,SC002,LC001,SC002
P6,PC003,P6;P7;P8;P9;P10,seq_pep6,EC002,SC002,LC001,SC002
P7,PC003,P6;P7;P8;P9;P10,seq_pep6,EC002,SC002,LC001,SC002
P8,PC003,P6;P7;P8;P9;P10,seq_pep6,EC002,SC002,LC001,SC002
P9,PC003,P6;P7;P8;P9;P10,seq_pep6,EC002,SC002,LC001,SC002
P10,PC003,P6;P7;P8;P9;P10,seq_pep6,EC002,SC002,LC001,SC002
P11,PC004,P11,seq_pep58,EC003,SC001,LC002,SC001
P12,PC005,P12;P13;P14;P15,seq_pep7,EC004,SC006,LC003,SC006
P13,PC005,P12;P13;P14;P15,seq_pep7,EC004,SC006,LC003,SC006
P14,PC005,P12;P13;P14;P15,seq_pep7,EC004,SC006,LC003,SC006
P15,PC005,P12;P13;P14;P15,seq_pep7,EC004,SC006,LC003,SC006
