row_type,endpoint,model,comparator,dependency_group,n,value,interval_lower,interval_upper,dependency_groups
model_metric,gcgr,ridge,,,15,1.790796224787757,,,
model_metric,glp1r,ridge,,,15,1.6985712359816967,,,
model_metric,selectivity,ridge,,,13,0.44705330024472667,,,
model_metric,gcgr,nn,,,15,2.031318102029402,,,
model_metric,glp1r,nn,,,15,1.3613589041262713,,,
model_metric,selectivity,nn,,,13,0.478793090625044,,,
model_metric,gcgr,median,,,15,2.3011162288643163,,,
model_metric,glp1r,median,,,15,2.049503021595317,,,
model_metric,selectivity,median,,,13,2.013390531925835,,,
model_metric,gcgr,component_mean,,,15,2.167487288771723,,,
model_metric,glp1r,component_mean,,,15,2.112042568239232,,,
model_metric,selectivity,component_mean,,,13,1.4634130808190682,,,
primary_delta,gcgr,ridge,nn,,15,-0.2405218772416454,-0.8181526060802642,0.343094812507356,4
primary_delta,glp1r,ridge,nn,,15,0.3372123318554255,-0.7380492897136224,1.0800383266779772,4
external_component_delta,gcgr,ridge,nn,EC001,,0.38455873403962265,,,4
external_component_delta,gcgr,ridge,nn,EC002,,-0.30905967976419574,,,4
external_component_delta,gcgr,ridge,nn,EC003,,0.13577520484602257,,,4
external_component_delta,gcgr,ridge,nn,EC004,,-1.0302746587119596,,,4
external_component_delta,glp1r,ridge,nn,EC001,,0.0910350392346168,,,4
external_component_delta,glp1r,ridge,nn,EC002,,1.3797861920595913,,,4
external_component_delta,glp1r,ridge,nn,EC003,,-2.1198565046273545,,,4
external_component_delta,glp1r,ridge,nn,EC004,,-0.04401616850307627,,,4
