peptide_id,design_group,parent_cluster_id,external_sequence_component_id,linked_component_id,endpoint,observation_status,observation_log10_pm_or_bound,observed_replicates,right_censored_replicates,ridge_prediction,ridge_constraint_absolute_error,nn_prediction,nn_constraint_absolute_error,median_prediction,median_constraint_absolute_error,component_mean_prediction,component_mean_constraint_absolute_error
P1,dual,PC001,EC001,LC001,gcgr,exact,0.28330122870354957,3,0,0.9868330997153905,0.7035318710118409,0.3242824552976926,0.04098122659414305,4.184691430817598,3.9013902021140487,3.5165467303546323,3.2332455016510826
P1,dual,PC001,EC001,LC001,glp1r,exact,-0.1268732363854996,3,0,1.012508198632634,1.1393814350181337,0.19589965240923374,0.3227728887947333,1.944975908412048,2.0718491447975476,2.257673641631622,2.3845468780171215
P1,dual,PC001,EC001,LC001,selectivity,exact,0.4101744650890492,6,0,-0.02567509891724362,0.4358495640062928,0.12838280288845888,0.2817916622005903,2.2397155224055503,1.8295410573165012,1.2588730887230102,0.848698623633961
P2,dual,PC002,EC001,LC001,gcgr,exact,-0.7447274948966939,3,0,0.9057788891216734,1.6505063840183674,-0.0809219076239261,0.6638055872727677,4.184691430817598,4.929418925714292,3.5165467303546323,4.261274225251326
P2,dual,PC002,EC001,LC001,glp1r,exact,0.35410843914740087,3,0,1.1041500819342698,0.7500416427868689,0.5037906830571811,0.14968224390978024,1.944975908412048,1.590867469264647,2.257673641631622,1.9035652024842213
P2,dual,PC002,EC001,LC001,selectivity,exact,-1.0988359340440947,6,0,-0.1983711928125964,0.9004647412314983,-0.5847125906811073,0.5141233433629875,2.2397155224055503,3.338551456449645,1.2588730887230102,2.357709022767105
P3,dual,PC002,EC001,LC001,gcgr,exact,-0.9089195306526674,3,0,0.8860914681476029,1.7950109988002703,0.09312491038954385,1.0020444410422114,4.184691430817598,5.093610961470266,3.5165467303546323,4.4254662610072995
P3,dual,PC002,EC001,LC001,glp1r,exact,-0.3309932190414245,3,0,1.4421004774480433,1.7730936964894677,0.6713198868972182,1.0023131059386428,1.944975908412048,2.2759691274534726,2.257673641631622,2.5886668606730465
P3,dual,PC002,EC001,LC001,selectivity,exact,-0.577926311611243,6,0,-0.5560090093004404,0.021917302310802578,-0.5781949765076744,0.0002686648964314031,2.2397155224055503,2.8176418340167935,1.2588730887230102,1.8367994003342532
P4,dual,PC002,EC001,LC001,gcgr,exact,0.7007037171450193,3,0,0.9022095692329031,0.20150585208788374,-0.0809219076239261,0.7816256247689455,4.184691430817598,3.483987713672579,3.5165467303546323,2.815843013209613
P4,dual,PC002,EC001,LC001,glp1r,exact,1.3636119798921442,3,0,1.3625943555902111,0.0010176243019330844,0.5037906830571811,0.8598212968349631,1.944975908412048,0.5813639285199037,2.257673641631622,0.8940616617394779
P4,dual,PC002,EC001,LC001,selectivity,exact,-0.6629082627471249,6,0,-0.46038478635730806,0.20252347638981683,-0.5847125906811073,0.07819567206601763,2.2397155224055503,2.902623785152675,1.2588730887230102,1.921781351470135
P5,dual,PC002,EC001,LC001,gcgr,exact,0.43296929087440567,3,0,1.007555933330556,0.5745866424561503,-0.0809219076239261,0.5138911984983318,4.184691430817598,3.7517221399431926,3.5165467303546323,3.0835774394802264
P5,dual,PC002,EC001,LC001,glp1r,exact,1.8325089127062364,3,0,1.3775603500023812,0.4549485627038552,0.5037906830571811,1.3287182296490552,1.944975908412048,0.11246699570581153,2.257673641631622,0.4251647289253857
P5,dual,PC002,EC001,LC001,selectivity,exact,-1.3995396218318308,6,0,-0.37000441667182526,1.0295352051600055,-0.5847125906811073,0.8148270311507235,2.2397155224055503,3.639255144237381,1.2588730887230102,2.658412710554841
P6,gcgr_selective,PC003,EC002,LC001,gcgr,exact,4.380211241711606,3,0,1.3128258541053905,3.067385387606216,0.9164539485499251,3.4637572931616813,4.184691430817598,0.19551981089400794,3.5165467303546323,0.8636645113569741
P6,gcgr_selective,PC003,EC002,LC001,glp1r,lower_bound,5.749478650487695,0,3,1.995558030643922,3.7539206198437727,3.2068258760318495,2.542652774455845,1.944975908412048,3.8045027420756465,2.257673641631622,3.4918050088560726
P6,gcgr_selective,PC003,EC002,LC001,selectivity,upper_bound,-1.3692674087760883,3,3,-0.6827321765385315,0.6865352322375569,-2.2903719274819245,0.0,2.2397155224055503,3.6089829311816386,1.2588730887230102,2.6281404974990985
P7,gcgr_selective,PC003,EC002,LC001,gcgr,exact,4.837167406227835,3,0,1.2543746666384927,3.5827927395893426,0.9164539485499251,3.9207134576779104,4.184691430817598,0.6524759754102369,3.5165467303546323,1.320620675873203
P7,gcgr_selective,PC003,EC002,LC001,glp1r,exact,5.492760389026838,3,0,1.8197142352174773,3.6730461538093606,3.2068258760318495,2.2859345129949884,1.944975908412048,3.54778448061479,2.257673641631622,3.235086747395216
P7,gcgr_selective,PC003,EC002,LC001,selectivity,exact,-0.6555929827990026,6,0,-0.5653395685789846,0.09025341422001798,-2.2903719274819245,1.634778944682922,2.2397155224055503,2.895308505204553,1.2588730887230102,1.9144660715220128
P8,gcgr_selective,PC003,EC002,LC001,gcgr,lower_bound,5.445085022719354,0,3,1.1390386370104006,4.306046385708953,0.9164539485499251,4.528631074169429,4.184691430817598,1.2603935919017557,3.5165467303546323,1.9285382923647219
P8,gcgr_selective,PC003,EC002,LC001,glp1r,lower_bound,5.445085022719354,0,3,1.7157602686646125,3.7293247540547414,3.2068258760318495,2.2382591466875046,1.944975908412048,3.500109114307306,2.257673641631622,3.187411381087732
P8,gcgr_selective,PC003,EC002,LC001,selectivity,uninformative,,0,6,-0.5767216316542119,,-2.2903719274819245,,2.2397155224055503,,1.2588730887230102,
P9,gcgr_selective,PC003,EC002,LC001,gcgr,lower_bound,5.444044795918076,0,3,1.1669543171778272,4.277090478740249,0.9164539485499251,4.527590847368151,4.184691430817598,1.2593533651004778,3.5165467303546323,1.927498065563444
P9,gcgr_selective,PC003,EC002,LC001,glp1r,lower_bound,5.444044795918076,0,3,1.784451650117801,3.659593145800275,3.2068258760318495,2.2372189198862267,1.944975908412048,3.499068887506028,2.257673641631622,3.186371154286454
P9,gcgr_selective,PC003,EC002,LC001,selectivity,uninformative,,0,6,-0.6174973329399738,,-2.2903719274819245,,2.2397155224055503,,1.2588730887230102,
P10,gcgr_selective,PC003,EC002,LC001,gcgr,exact,5.526769911517248,3,0,1.2543746666384927,4.272395244878755,0.9164539485499251,4.610315962967323,4.184691430817598,1.3420784806996497,3.5165467303546323,2.010223181162616
P10,gcgr_selective,PC003,EC002,LC001,glp1r,lower_bound,5.742986833320392,0,3,1.8197142352174773,3.923272598102915,3.2068258760318495,2.536160957288543,1.944975908412048,3.7980109249083442,2.257673641631622,3.4853131916887703
P10,gcgr_selective,PC003,EC002,LC001,selectivity,upper_bound,-0.21621692180314422,3,3,-0.5653395685789846,0.0,-2.2903719274819245,0.0,2.2397155224055503,2.4559324442086945,1.2588730887230102,1.4750900105261544
P11,glp1r_selective,PC004,EC003,LC002,gcgr,lower_bound,5.4780852828222795,0,3,4.293977075156385,1.1841082076658944,4.429752280002408,1.0483330028198719,4.184691430817598,1.293393852004681,3.5165467303546323,1.9615385524676472
P11,glp1r_selective,PC004,EC003,LC002,glp1r,exact,2.694605198933569,3,0,2.3653691724415045,0.3292360264920644,0.24551266781414982,2.449092531119419,1.944975908412048,0.7496292905215209,2.257673641631622,0.43693155730194677
