peptide_id,cluster_id,outer_fold
seq_pep1,SC002,2
seq_pep10,SC005,3
seq_pep100,SC001,1
seq_pep101,SC001,1
seq_pep102,SC001,1
seq_pep103,SC001,1
seq_pep104,SC001,1
seq_pep105,SC001,1
seq_pep106,SC001,1
seq_pep107,SC001,1
seq_pep108,SC001,1
seq_pep109,SC001,1
seq_pep11,SC005,3
seq_pep110,SC001,1
seq_pep111,SC001,1
seq_pep112,SC001,1
seq_pep113,SC001,1
seq_pep114,SC001,1
seq_pep115,SC001,1
seq_pep116,SC001,1
seq_pep117,SC001,1
seq_pep118,SC010,3
seq_pep119,SC011,2
seq_pep12,SC005,3
seq_pep120,SC012,3
seq_pep121,SC007,2
seq_pep122,SC007,2
seq_pep123,SC007,2
seq_pep124,SC013,1
seq_pep125,SC014,2
seq_pep13,SC005,3
seq_pep14,SC004,3
seq_pep15,SC004,3
seq_pep16,SC004,3
seq_pep17,SC004,3
seq_pep18,SC004,3
seq_pep19,SC004,3
seq_pep2,SC002,2
seq_pep20,SC004,3
seq_pep21,SC004,3
seq_pep22,SC004,3
seq_pep23,SC004,3
seq_pep24,SC006,3
seq_pep25,SC015,3
seq_pep26,SC006,3
seq_pep27,SC016,1
seq_pep28,SC001,1
seq_pep29,SC003,3
seq_pep3,SC002,2
seq_pep30,SC003,3
seq_pep31,SC003,3
seq_pep32,SC003,3
seq_pep33,SC003,3
seq_pep34,SC003,3
seq_pep35,SC003,3
seq_pep36,SC003,3
seq_pep37,SC003,3
seq_pep38,SC003,3
seq_pep39,SC003,3
seq_pep4,SC002,2
seq_pep40,SC003,3
seq_pep41,SC003,3
seq_pep42,SC003,3
seq_pep43,SC003,3
seq_pep44,SC003,3
seq_pep45,SC004,3
seq_pep46,SC008,3
seq_pep47,SC008,3
seq_pep48,SC017,2
seq_pep49,SC009,2
seq_pep5,SC002,2
seq_pep50,SC009,2
seq_pep51,SC001,1
seq_pep52,SC001,1
seq_pep53,SC001,1
seq_pep54,SC001,1
seq_pep55,SC001,1
seq_pep56,SC001,1
seq_pep57,SC001,1
seq_pep58,SC001,1
seq_pep59,SC004,3
seq_pep6,SC002,2
seq_pep60,SC002,2
seq_pep61,SC002,2
seq_pep62,SC002,2
seq_pep63,SC002,2
seq_pep64,SC002,2
seq_pep65,SC002,2
seq_pep66,SC002,2
seq_pep67,SC002,2
seq_pep68,SC002,2
seq_pep69,SC002,2
seq_pep7,SC006,3
seq_pep70,SC001,1
seq_pep71,SC001,1
seq_pep72,SC001,1
seq_pep73,SC001,1
seq_pep74,SC001,1
seq_pep75,SC001,1
seq_pep76,SC001,1
seq_pep77,SC001,1
seq_pep78,SC002,2
seq_pep79,SC002,2
seq_pep8,SC001,1
seq_pep80,SC002,2
seq_pep81,SC002,2
seq_pep82,SC002,2
seq_pep83,SC002,2
seq_pep84,SC002,2
seq_pep85,SC002,2
seq_pep86,SC002,2
seq_pep87,SC002,2
seq_pep88,SC002,2
seq_pep89,SC002,2
seq_pep9,SC006,3
seq_pep90,SC002,2
seq_pep91,SC002,2
seq_pep92,SC002,2
seq_pep93,SC002,2
seq_pep94,SC002,2
seq_pep95,SC002,2
seq_pep96,SC001,1
seq_pep97,SC001,1
seq_pep98,SC001,1
seq_pep99,SC001,1
