model,endpoint,n_informative,constraint_mae_lower_bound,exact_complete_n,exact_complete_mae_log10_pm,bound_constraints,bound_satisfaction_rate
ridge,gcgr,15,1.790796224787757,12,1.4245581916417713,3,0.0
ridge,glp1r,15,1.6985712359816967,11,0.9465870383567043,4,0.0
ridge,selectivity,13,0.44705330024472667,10,0.42702854897700604,3,0.3333333333333333
nn,gcgr,15,2.031318102029402,12,1.6971013838402984,3,0.0
nn,glp1r,15,1.3613589041262713,11,0.9878265239614502,4,0.0
nn,selectivity,13,0.478793090625044,10,0.6224310178125572,3,1.0
median,gcgr,15,2.3011162288643163,12,2.558633551996486,3,0.0
median,glp1r,15,2.049503021595317,11,1.4673503322847667,4,0.0
median,selectivity,13,2.013390531925835,10,1.9565396978162362,3,0.0
component_mean,gcgr,15,2.167487288771723,12,2.2245612017650025,3,0.0
component_mean,glp1r,15,2.112042568239232,11,1.6663397988790414,4,0.0
component_mean,selectivity,13,1.4634130808190682,10,1.339653254745693,3,0.0
