peptide_id,cluster_id,cluster_size,aligned_sequence_sha256
seq_pep1,SC002,34,6351fcddd93f279590337390d70b3f8b992b2d103c8acd6e69e3313358c1a582
seq_pep10,SC005,4,3107ef63e777c58c2c2c3371e84c850faad0060598b9e1e3e7a2fb67a9314802
seq_pep100,SC001,40,3ee94967e11c094b6462fb8da3fe21f8c2fca7c278f73b323974f5440c33e330
seq_pep101,SC001,40,1a9669d291f0b6950cc27af1e9a59b4dcdd6239b52910391cf340435b4a31429
seq_pep102,SC001,40,80106750757071416dd71d47e4cb02c45aa1b87a1086126399c7d1fb8fbcfc6f
seq_pep103,SC001,40,9c9bf5d9d168851fab6d6b12ccd893511034a28700397c49774a5500ca949ab2
seq_pep104,SC001,40,d1c8957c184c7da22addf484635cced5de411c1911491bdd32f189636058c9cd
seq_pep105,SC001,40,89bbb7201173b7a9abc1e19ee490f0065ceb83df61b9356c21f5629e4b0e996c
seq_pep106,SC001,40,2b05dfbb9ee3f8a5f27454bf772ff804e93c2b356e2bba683a983f87d9c3a619
seq_pep107,SC001,40,7590149c4df34cdeec376d6a614cc45299209a40d74f1d33ccf7a27eb44e8843
seq_pep108,SC001,40,f2af754fab5a7a297c9fb12e0865176d27b30011641907308d03b14276c9a12d
seq_pep109,SC001,40,6f594b360205b809a224bfb30582173fb2dc4872b5064e69e046f476bc2099da
seq_pep11,SC005,4,03c351f40adfedbe2153efc0d78f92edf5a401d33491b3c7c9adc0a9615b7251
seq_pep110,SC001,40,97bd352438e91dcd4ac00907ea3b177a8db306bcc8501f65bef9472b313b192e
seq_pep111,SC001,40,79d65b38751cb5a56278b7cda6463a1690bb0c5224ebb4b2dd3a833126189261
seq_pep112,SC001,40,4eef761fa80244cd63d6bce7d1f02eb946d4c150df45eb755232c08fa16b7c17
seq_pep113,SC001,40,fe610bcc71fbb2496acc26cab389a255625f3f862b995629fba3655f91bc4e3c
seq_pep114,SC001,40,79926881cea685e8c05263405427a2c27eac1e9e621896b8ef70a1c9d9f34357
seq_pep115,SC001,40,47792bce55e172c6152b72393d45d850fdbcf6f07ed8abc47a0b2a906705c215
seq_pep116,SC001,40,3b3bb91ed70f0f1bdc222fd3d4734d2c1400301e8cac44432dead69c671016d2
seq_pep117,SC001,40,5b059c7366bbae5f81541f7a3ae5e1442693cb72b3d5384f7fcf910522c84898
seq_pep118,SC010,1,0e42ab532ea23314bbd66dc93f48932280934835ab00c8174d0871422c8c6a2e
seq_pep119,SC011,1,dc27a3e60c1ca118650f1b5549c295fdc46014bf72e4054ba833c628bd6f0740
seq_pep12,SC005,4,0c9c7d8c4e954673cc3e83fd04f9352e0b0502d3aa0af388686006d05ca85b7c
seq_pep120,SC012,1,107fa9f26a069a381e446bda3d7f8e2872f0379830c2e0fee7551560627c1e5a
seq_pep121,SC007,3,dbc7393bce46b1244e9caa93197f5c5162d3a0be4c19c3b83c24e145041a064d
seq_pep122,SC007,3,13d259a6c51735f7b90832cd3a797d54f8fbfcd99e24dbac5cb1794549f7a9a5
seq_pep123,SC007,3,7f657c66e92965253f13a12d9419070ab4f3db861a12d7400079c40c85521876
seq_pep124,SC013,1,6a8f8baef9f7ecc30a853b8da42f64cdba702f9cd849b4cbab98b41ad3f771aa
seq_pep125,SC014,1,5fb3ad545eb2f267746151cbca282503ec9d5e045d96b8d4082f45d8f9a67139
seq_pep13,SC005,4,dc3d9f31778c374c7e90d7f24da4d62a3eddff4f1daf0e4b705f32517f28c94c
seq_pep14,SC004,12,8a7ab5252238f4dbb849405d16ae7a650a8fc05b3545d05cb95309c23a04a74e
seq_pep15,SC004,12,fb791c10585e49180077683abfb31365ccb6df0c901113691f77d0e52e19fe1a
seq_pep16,SC004,12,f337e6a0b0deea03052f699431d2fc077c10faa321cde2dead252bd20a12f667
seq_pep17,SC004,12,64f914e3fb4bd50d8978dccdd2688261b8515b3ace182f2cbbef0c487c94e19d
seq_pep18,SC004,12,391f61618e9c10acdcbe60b72bd956939d7305b1e9807b5b3a51e9f1fdc38a8d
seq_pep19,SC004,12,07dff45b2fae5c49dfd817c54df05b4df71ba5e8047a4de9a37bf673f437828c
seq_pep2,SC002,34,0076f4d3ab51716b6db426e1e25f227e2dc02e06af68e1091ce501d8cde77abb
seq_pep20,SC004,12,bc204f1d81cc5f3601a3f73bdb33c991807d5b116671131d5da7dc0cd7c8ef8f
seq_pep21,SC004,12,257eac7afed6b6613c019e534989874207a66cb2484427fc3d950e62c0eac507
seq_pep22,SC004,12,7d4ff09d839fa6c4cd41c45e0e7e86ab80e74ca8230823aed10d7b9f79e73e3f
seq_pep23,SC004,12,16b5b5ad0e538aa681ec8c3c0a17f29f578f8ac39b0df23a8120a262001f4876
seq_pep24,SC006,4,ca66b9e1576c7917f0fa0117126b1008a8e9bf519c0e73ecbb6c76f124581dc5
seq_pep25,SC015,1,c6b6ac2b73904eb57c5250cf1cf7034f60057ced3c0a6a0a05f0760974a42491
seq_pep26,SC006,4,ccb9b0a0ee1d3c349f2cc1f4895b75de11728227ac0878fb6d4ea5e39b0b12f2
seq_pep27,SC016,1,ddc32203d93485cfd27f13e07a6f1c6686e9170d8987e197c1a6a21f704dfb67
seq_pep28,SC001,40,2f060638f0142c8af0f2933ebca710e1076da750c31badb5e1458ca2dcb78b21
seq_pep29,SC003,16,58707252dfde4da4a5a93be0b3dd284eb3dd09ff829bbdce43f008474d6ac5af
seq_pep3,SC002,34,db31314a01e517d66781806d0f929db2ac8400f042f3438cada767ff76bbecb7
